Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
EUR 285450,Pilothouse,Delta Powerboats power boats,"new boat from stock,Diesel",2020,10.7,3.1,GRP,Switzerland,370
Â£ 260000,Flybridge,Sealine power boats,"Used boat,Diesel",2011,13.96,4.51,GRP,France,96
EUR 285000,House Boat,,"Used boat,Diesel",1922,27.84,4.76,Steel,France,85
EUR 285000,Motor Yacht,Neptunus power boats,Diesel,1994,18.9,5.15,,Germany,45
EUR 285000,Motor Yacht,Rizzardi power boats,Used boat,2006,14.63,1.37,,Malta,71
EUR 285000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,13.0,4.22,,Italy,77
EUR 285000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2013,13.36,4.16,GRP,Spain,144
EUR 284000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2018,11.43,3.84,PVC,France,46
EUR 282708,Motor Yacht,Pirelli power boats,new boat on order,0,11.0,3.8,,France,125
DKK 2100000,Motor Yacht,Fairline power boats,"new boat from stock,Diesel",2006,14.34,4.01,GRP,Denmark,62
EUR 282000,Trawler,Grand Banks power boats,"Used boat,Diesel",2001,14.63,4.06,GRP,Germany,96
Â£ 256950,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,United,47
EUR 281465,Pilothouse,Marex power boats,"new boat from stock,Diesel",0,9.46,3.24,GRP,Switzerland,347
EUR 280000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2004,16.21,4.54,,Italy,53
EUR 280000,Motor Yacht,Marquis power boats,"Used boat,Diesel",2009,13.3,4.2,GRP,Croatia,57
EUR 280000,Motor Yacht,De Boarnstream power boats,"Display Model,Diesel",2016,10.86,3.6,Steel,Switzerland,236
EUR 280000,Flybridge,,"Used boat,Diesel",1989,20.0,5.6,Aluminium,Germany,73
EUR 280000,Flybridge,Sealine power boats,"Used boat,Diesel",2005,15.85,4.57,GRP,Croatia,66
EUR 280000,Hardtop,Galeon power boats,"Used boat,Diesel",2013,11.79,4.16,,Italy,161
EUR 280000,Motor Yacht,Sunseeker power boats,Used boat,2006,17.04,4.6,GRP,Spain,231
EUR 280000,Motor Yacht,Carnevali power boats,Used boat,2003,14.9,4.56,,Italy,53
EUR 280000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,11.5,3.85,GRP,France,46
EUR 280000,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2003,16.45,4.65,GRP,Croatia,23
EUR 280000,Hardtop,Azimut power boats,"Used boat,Diesel",2008,13.37,4.22,GRP,Italy,95
EUR 280000,Motor Yacht,,"Used boat,Diesel",1996,25.9,6.12,Wood,Italy,104
EUR 280000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,14.5,4.35,,Italy,126
EUR 280000,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2013,13.43,4.2,,Italy,75
EUR 280000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,14.8,4.33,GRP,Malta,79
EUR 280000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,14.63,4.27,GRP,Malta,102
EUR 280000,Motor Yacht,Mochi Craft power boats,Used boat,2006,15.3,4.9,,Italy,83
EUR 280000,Trawler,Grand Banks power boats,"Used boat,Diesel",1996,14.35,4.5,GRP,France,184
EUR 280000,"Motor Yacht,Trawler",Linssen power boats,"Used boat,Diesel",1998,14.98,4.88,Steel,Germany,312
EUR 280000,Sport Boat,Baja power boats,"Used boat,Unleaded",2001,13.43,2.9,Plastic,Latvia,241
EUR 280000,"Classic,Flybridge",,"Used boat,Diesel",1989,22.5,5.5,Wood,Italy,120
EUR 280000,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2014,13.84,4.01,GRP,Mallorca,359
EUR 279900,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",2020,10.53,3.32,GRP,Germany,106
EUR 279000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,11.29,4.03,PVC,France,55
EUR 279000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2007,14.78,3.99,GRP,Germany,169
EUR 279000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,France,44
EUR 279000,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,10.56,3.27,PVC,France,31
EUR 279000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,13.37,4.22,GRP,Croatia,67
EUR 279000,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2009,15.3,4.6,GRP,Croatia,58
EUR 279000,Hardtop,Bavaria power boats,"Used boat,Diesel",2016,13.29,3.97,GRP,Germany,128
EUR 279000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2004,16.99,4.6,GRP,Germany,118
EUR 278789,Pilothouse,Cobrey power boats,"new boat from stock,Unleaded",2020,9.8,3.19,GRP,Switzerland,309
EUR 278166,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,9.63,3.32,,Spain,97
EUR 278000,Motor Yacht,Azimut power boats,"new boat from stock,Diesel",2020,10.25,3.5,GRP,Italy,227
EUR 278000,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2009,15.3,4.6,,Italy,74
EUR 278000,Motor Yacht,Cranchi power boats,Used boat,2018,11.7,3.53,GRP,Croatia,71
CHF 300000,House Boat,Altena power boats,"Used boat,Diesel",2002,15.3,4.4,Steel,Switzerland,525
CHF 299900,Motor Yacht,Monterey power boats,"new boat from stock,Unleaded",2017,10.7,3.4,GRP,Switzerland,75
EUR 277000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,11.29,4.03,PVC,France,51
EUR 277000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,14.95,4.3,GRP,Spain,67
EUR 276600,Hardtop,Jeanneau power boats,new boat from stock,2019,10.98,3.8,,Italy,32
EUR 276200,Hardtop,Grandezza power boats,"new boat on order,Diesel",2020,10.03,3.23,GRP,Germany,132
CHF 298000,Hardtop,Saga power boats,"Display Model,Diesel",2020,9.78,3.25,GRP,Switzerland,250
EUR 275445,Hardtop,Marex power boats,"new boat from stock,Diesel",2020,9.46,3.24,GRP,Switzerland,252
EUR 275000,Sport Boat,Apreamare power boats,"Used boat,Diesel",2003,12.2,4.5,GRP,Italy,44
EUR 275000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,13.1,4.0,GRP,Croatia,153
EUR 275000,Hardtop,Sealine power boats,"Used boat,Diesel",2010,14.02,4.48,GRP,Germany,105
EUR 275000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2000,18.59,4.6,GRP,,77
EUR 275000,Flybridge,Fairline power boats,Used boat,1995,19.04,4.85,GRP,Finland,73
EUR 275000,Flybridge,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2019,11.37,3.8,PVC,France,44
EUR 275000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2005,16.15,1.4,GRP,Spain,62
EUR 275000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,France,81
EUR 275000,Trawler,,Used boat,1981,18.35,4.66,Steel,Netherlands,149
EUR 275000,Motor Yacht,Sessa power boats,"Used boat,Diesel",2012,11.7,3.75,GRP,Spain,49
EUR 275000,Trawler,van der Heijden power boats,Used boat,2005,14.95,4.5,Steel,Netherlands,53
EUR 274999,Motor Yacht,Cobra Yachts power boats,"Display Model,Diesel",2019,11.4,3.5,GRP,Poland,159
EUR 274900,Hardtop,Bavaria power boats,"Used boat,Diesel",2011,14.3,4.41,GRP,Italy,74
EUR 274900,Motor Yacht,Bavaria power boats,Used boat,2011,14.3,4.41,,Italy,25
EUR 274900,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",2019,10.5,3.32,GRP,Germany,132
Â£ 249950,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,14.97,4.3,GRP,Sweden,119
Â£ 249995,Motor Yacht,Canados power boats,"Used boat,Diesel",1995,18.29,5.46,GRP,United,70
Â£ 249950,Hardtop,Jeanneau power boats,"Used boat,Diesel",2019,10.52,3.05,PVC,United,78
EUR 274000,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,11.4,3.5,GRP,Switzerland,178
CHF 295000,Passenger boat,Hitzler-Werft Regensburg power boats,"Used boat,Diesel",1910,13.3,3.12,Steel,Switzerland,245
CHF 295000,Flybridge,Astondoa power boats,"Used boat,Diesel",2003,13.9,4.3,GRP,Switzerland,408
CHF 295000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,15.79,4.5,GRP,Switzerland,1107
EUR 272000,Cabin Boat,Delta Powerboats power boats,"new boat from stock,Diesel",2020,10.7,3.1,GRP,Switzerland,220
CHF 293500,Sport Boat,Chris Craft power boats,"new boat from stock,Unleaded",0,8.13,2.59,GRP,Switzerland,205
CHF 293500,Bowrider,Chris Craft power boats,"new boat from stock,Unleaded",2020,8.13,2.59,GRP,Switzerland,183
CHF 290000,"Classic,House Boat,Motor Yacht",Lavagna power boats,"Used boat,Diesel",1967,18.5,4.95,Wood,France,578
EUR 270000,Motor Yacht,Benetti power boats,"Used boat,Diesel",1969,23.8,5.8,Steel,Croatia,124
EUR 270000,Flybridge,Diano power boats,"Used boat,Diesel",1991,22.8,5.75,Wood,Italy,65
EUR 270000,Motor Yacht,Sessa power boats,"Used boat,Diesel",2007,15.8,4.5,,Italy,186
EUR 270000,Flybridge,Sealine power boats,"Used boat,Diesel",2010,14.1,4.48,GRP,Croatia,102
EUR 270000,Motor Yacht,Sessa power boats,"Used boat,Diesel",2008,14.87,4.27,GRP,,56
EUR 270000,Motor Yacht,Fairline power boats,Used boat,2008,15.0,4.0,GRP,Spain,42
EUR 270000,Hardtop,Innovazioni e Progetti power boats,"Used boat,Diesel",2009,14.7,4.64,GRP,Italy,64
EUR 270000,Flybridge,Sealine power boats,Used boat,2010,14.1,4.48,GRP,Croatia,54
EUR 270000,Motor Yacht,BÃ©nÃ©teau power boats,Used boat,2018,12.67,3.85,,Croatia,47
EUR 270000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,12.67,3.85,GRP,Croatia,70
EUR 270000,Flybridge,Baglietto power boats,"Used boat,Diesel",1975,24.0,5.0,,Spain,224
EUR 270000,Trawler,,"Used boat,Diesel",2004,13.75,4.35,Steel,Netherlands,52
EUR 270000,Hardtop,Rizzardi power boats,"Used boat,Diesel",2005,14.8,4.4,GRP,Italy,116
EUR 270000,Hardtop,Pershing power boats,Used boat,2002,16.7,4.7,GRP,Italy,115
EUR 270000,Hardtop,Sunseeker power boats,Used boat,2005,17.35,4.57,GRP,Italy,119
EUR 269900,Flybridge,Azimut power boats,"Used boat,Diesel",2007,12.9,4.29,GRP,Austria,84
EUR 269000,Flybridge,Fairline power boats,"Used boat,Diesel",2003,15.79,4.5,GRP,Netherlands,185
EUR 269000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,Italy,54
EUR 269000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,Italy,126
EUR 269000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,Italy,99
EUR 269000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,GRP,Italy,171
EUR 269000,Flybridge,Galeon power boats,"Used boat,Diesel",2012,11.98,3.75,GRP,Germany,408
Â£ 245000,Flybridge,Fairline power boats,"Used boat,Diesel",2001,17.05,4.65,PVC,United,100
Â£ 245000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,14.97,4.3,GRP,Portugal,48
EUR 268500,Trawler,Pedro power boats,"new boat from stock,Diesel",0,11.2,3.7,Steel,Netherlands,148
EUR 268000,Trawler,,"Used boat,Diesel",2008,12.8,4.25,Steel,Germany,64
EUR 268000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2014,13.22,4.41,,Italy,160
EUR 268000,Runabout,Comitti power boats,"Display Model,Unleaded",2019,11.0,2.99,GRP,Switzerland,243
EUR 268000,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2003,16.1,4.65,,Italy,50
CHF 288000,"Classic,Runabout",Comitti power boats,new boat from stock,2018,11.0,2.99,GRP,Switzerland,285
EUR 265727,Motor Yacht,Jeanneau power boats,new boat on order,2020,11.47,3.62,GRP,Germany,45
EUR 265132,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",0,11.51,3.62,GRP,Germany,35
EUR 265000,Sport Boat,Cormate power boats,"new boat on order,Unleaded",2021,10.36,2.55,GRP,Switzerland,156
EUR 265000,House Boat,Hemiksem power boats,Used boat,1966,46.91,5.08,Steel,Belgium,174
EUR 265000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,11.58,3.86,GRP,Germany,95
EUR 265000,Pilothouse,Bavaria power boats,"Used boat,Diesel",2017,11.99,4.2,GRP,Italy,236
EUR 265000,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2008,15.01,4.33,,Italy,145
EUR 265000,Motor Yacht,Galeon power boats,Used boat,2011,13.6,3.9,GRP,Spain,97
EUR 265000,Motor Yacht,Absolute power boats,"Used boat,Diesel",2009,14.36,4.24,GRP,Greece,64
EUR 265000,Hardtop,Jeanneau power boats,Used boat,2017,11.15,3.74,GRP,Estonia,68
EUR 265000,Motor Yacht,Fairline power boats,"Used boat,Diesel",1995,18.21,4.72,,Italy,58
EUR 265000,Flybridge,Ferretti power boats,"Used boat,Diesel",2006,15.62,4.8,GRP,Italy,74
EUR 265000,Hardtop,Pershing power boats,"Used boat,Diesel",2002,16.7,4.7,GRP,Italy,116
EUR 265000,Sport Boat,Nautica Esposito power boats,"Used boat,Diesel",2017,11.5,3.85,PVC,Spain,41
EUR 265000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,13.88,4.25,PVC,France,54
CHF 285000,Wakeboard/Wakesurf,Pavati power boats,"Display Model,Unleaded",2019,7.52,2.56,Aluminium,Switzerland,690
CHF 285000,Sport Boat,Linssen power boats,"Used boat,Diesel",2009,12.85,4.3,Steel,Switzerland,247
Â£ 239950,Flybridge,Princess power boats,"Used boat,Diesel",2008,12.8,4.18,GRP,United,95
EUR 263000,Bowrider,Fjord power boats,"Used boat,Unleaded",2018,11.32,3.64,PVC,France,103
CHF 280000,Motor Yacht,Biot power boats,"Used boat,Diesel",2003,14.15,4.3,Aluminium,Switzerland,212
EUR 260610,Motor Yacht,Sessa power boats,"new boat from stock,Diesel",0,11.33,3.45,GRP,Germany,80
EUR 260000,Motor Yacht,Monachus power boats,"Used boat,Diesel",2008,13.85,4.2,GRP,Croatia,38
EUR 260000,House Boat,,Used boat,2020,18.0,5.5,Aluminium,Netherlands,118
EUR 260000,Motor Yacht,Sessa power boats,"Used boat,Diesel",2009,11.88,3.99,GRP,Croatia,39
EUR 260000,Flybridge,,"Used boat,Diesel",2001,17.71,4.96,GRP,Italy,46
EUR 260000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2011,12.97,4.16,,Italy,69
EUR 260000,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2011,13.8,4.41,,Italy,94
EUR 260000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2012,13.88,4.25,GRP,Turkey,82
EUR 260000,Motor Yacht,,"Used boat,Diesel",2008,14.02,4.48,GRP,Italy,108
EUR 260000,Hardtop,Princess power boats,"Used boat,Diesel",2010,13.85,4.0,,France,122
EUR 260000,Hardtop,Sessa power boats,"Used boat,Diesel",2006,15.8,4.5,GRP,Croatia,54
EUR 260000,Hardtop,Rio power boats,Used boat,2012,13.23,4.0,GRP,Italy,48
EUR 260000,Motor Yacht,Uniesse power boats,"Used boat,Diesel",2005,16.2,4.5,GRP,Italy,62
EUR 260000,Motor Yacht,Primatist power boats,"Used boat,Diesel",2009,14.1,4.5,,Italy,39
EUR 260000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,14.99,4.2,GRP,Croatia,177
EUR 260000,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2007,16.7,4.65,GRP,Spain,122
EUR 260000,Hardtop,Bavaria power boats,"Used boat,Diesel",2015,13.29,3.97,GRP,Germany,178
EUR 260000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2013,13.36,4.16,PVC,France,130
EUR 260000,Motor Yacht,Uniesse power boats,"Used boat,Diesel",2003,14.67,4.62,,Italy,133
EUR 259900,House Boat,,new boat from stock,2020,15.0,5.6,Steel,Netherlands,76
EUR 259500,Trawler,,Used boat,1924,30.0,4.95,Steel,Netherlands,43
EUR 259500,Trawler,Tryvia power boats,Used boat,2011,13.45,4.25,Steel,Netherlands,107
EUR 259000,Flybridge,Adagio Yachts power boats,Used boat,2008,12.97,3.87,GRP,Netherlands,53
EUR 259000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2001,16.61,4.67,GRP,Spain,63
EUR 258000,Flybridge,Princess power boats,"Used boat,Diesel",2009,13.05,4.13,,Italy,127
EUR 258000,Motor Yacht,Pirelli power boats,new boat on order,2020,11.37,3.54,,France,77
EUR 258000,Motor Yacht,Four Winns power boats,"Used boat,Diesel",2010,13.3,4.07,GRP,Croatia,63
Â£ 235000,Flybridge,,"Used boat,Diesel",2003,16.34,4.7,PVC,United,72
Â£ 235000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1995,16.5,4.5,,United,83
EUR 257500,Hardtop,Galeon power boats,"new boat from stock,Unleaded",0,11.37,3.48,GRP,Germany,49
CHF 278000,Hardtop,Galeon power boats,"Used boat,Diesel",2014,11.99,3.66,GRP,Switzerland,267
CHF 277816,Sport Boat,Windy power boats,"new boat from stock,Unleaded",2019,8.85,2.62,,Switzerland,286
EUR 256800,Sport Boat,Fjord power boats,"Display Model,Gas",2020,11.63,3.64,GRP,Croatia,104
EUR 256000,Hardtop,Sessa power boats,"new boat from stock,Unleaded",2020,11.7,3.75,GRP,Italy,58
EUR 256000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,14.8,4.27,PVC,France,63
EUR 255850,Motor Yacht,,"Used boat,Diesel",2018,11.95,3.6,GRP,Turkey,54
EUR 255850,Motor Yacht,,"new boat from stock,Diesel",2018,11.95,3.6,GRP,Turkey,41
EUR 255000,Flybridge,Azimut power boats,"Used boat,Diesel",2005,14.0,4.0,GRP,Croatia,61
EUR 255000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,14.0,4.0,GRP,Croatia,116
EUR 255000,Trawler,Sabre power boats,"Used boat,Diesel",2000,14.22,4.57,GRP,Netherlands,42
EUR 255000,Trawler,,"Used boat,Diesel",1931,29.95,6.12,Steel,Netherlands,34
EUR 255000,Motor Yacht,Neptunus power boats,"Used boat,Diesel",1994,18.9,5.15,GRP,Germany,72
EUR 255000,Flybridge,Princess power boats,"Used boat,Diesel",1995,19.45,5.23,,Italy,109
EUR 255000,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,11.75,3.62,PVC,France,44
EUR 255000,Flybridge,Azimut power boats,"Used boat,Diesel",2006,12.0,4.0,GRP,Croatia,88
EUR 255000,House Boat,,"Used boat,Electric",2014,14.75,4.3,Aluminium,Germany,134
EUR 255000,Motor Yacht,Rhea power boats,"Used boat,Unleaded",2019,9.75,3.33,PVC,France,96
EUR 254900,Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2019,10.44,3.32,GRP,Germany,75
DKK 1895000,Trawler,,Used boat,2009,11.76,4.05,GRP,Denmark,83
CHF 275000,Runabout,Riva power boats,"Used boat,Unleaded",2017,8.21,2.5,GRP,Switzerland,388
DKK 1889900,Hardtop,Bavaria power boats,new boat from stock,2020,13.29,3.99,,Denmark,129
EUR 254000,Motor Yacht,Storebro power boats,"Used boat,Diesel",2005,12.5,3.9,GRP,Germany,434
EUR 253370,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,9.9,3.4,PVC,Spain,75
EUR 253000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2011,11.98,4.16,PVC,France,68
EUR 252800,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,11.29,3.96,PVC,France,54
EUR 250000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2005,13.21,4.21,GRP,Croatia,81
EUR 250000,Hardtop,Azimut power boats,"Used boat,Diesel",2007,13.0,4.22,GRP,Italy,242
EUR 250000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,12.43,4.29,GRP,Italy,82
EUR 250000,Motor Yacht,Greenline power boats,Used boat,2018,11.99,3.75,,Croatia,172
EUR 250000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,14.5,4.1,,Italy,109
EUR 250000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,17.8,4.59,GRP,Italy,88
EUR 250000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,12.89,4.05,PVC,France,60
EUR 250000,Flybridge,Cranchi power boats,Used boat,2007,15.52,4.33,GRP,Turkey,42
EUR 250000,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2006,16.7,4.65,,Italy,42
EUR 250000,Flybridge,Ferretti power boats,"Used boat,Diesel",2000,16.3,4.73,GRP,Italy,39
EUR 250000,Flybridge,Conam power boats,"Used boat,Diesel",2006,18.45,4.4,GRP,Italy,127
EUR 250000,Motor Yacht,Raffaelli power boats,"Used boat,Diesel",2008,17.9,4.38,GRP,Italy,87
EUR 250000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2000,17.07,4.6,GRP,Italy,158
EUR 250000,Motor Yacht,Raffaelli power boats,Used boat,2008,17.9,4.38,,Italy,75
EUR 250000,Motor Yacht,Raffaelli power boats,Used boat,2008,19.51,4.27,,Italy,107
EUR 250000,Motor Yacht,Absolute power boats,"Used boat,Diesel",2009,14.61,4.19,GRP,Italy,77
EUR 250000,Passenger boat,,"Used boat,Diesel",1967,34.3,6.1,Steel,Germany,160
EUR 249900,House Boat,,"Used boat,Diesel",1987,16.05,4.8,Steel,Germany,201
EUR 249900,House Boat,,"Used boat,Diesel",1986,16.05,4.8,Steel,Germany,272
EUR 249900,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,11.15,3.74,GRP,Germany,81
EUR 249900,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1995,18.0,4.68,GRP,Spain,160
EUR 249900,Hardtop,,"Used boat,Diesel",2016,12.21,3.97,PVC,France,127
EUR 249900,Motor Yacht,Invictus power boats,"new boat from stock,Diesel",2019,10.0,2.78,GRP,Spain,164
EUR 249900,Flybridge,Princess power boats,"Used boat,Diesel",2004,13.7,4.27,GRP,Greece,66
EUR 249841,Motor Yacht,Sealine power boats,"new boat from stock,Diesel",2020,10.31,3.5,GRP,Germany,106
EUR 249800,Mega Yacht,,Used boat,1930,33.88,6.0,Steel,Netherlands,63
CHF 270000,Motor Yacht,Frauscher power boats,"Used boat,Unleaded",2016,9.99,2.98,GRP,Switzerland,340
EUR 249500,Motor Yacht,Jacabo power boats,Used boat,2005,14.75,4.25,Steel,Netherlands,64
EUR 249500,Passenger boat,,"Used boat,Diesel",1985,26.2,5.5,Steel,Netherlands,67
EUR 249500,Motor Yacht,,Used boat,2002,14.85,4.55,Steel,Netherlands,67
EUR 249000,Flybridge,Princess power boats,"Used boat,Diesel",2005,13.23,4.14,,Italy,136
EUR 249000,Motor Yacht,Linssen power boats,"Used boat,Diesel",1998,14.1,4.45,Steel,Germany,162
EUR 249000,Motor Yacht,,"Used boat,Diesel",2006,19.55,5.35,Wood,Turkey,51
EUR 249000,Motor Yacht,Sealine power boats,Used boat,2017,10.31,3.5,GRP,Finland,172
EUR 249000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2020,10.56,3.32,PVC,France,44
EUR 249000,Motor Yacht,,"Used boat,Diesel",1994,15.49,5.28,,Spain,38
EUR 249000,Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.45,3.37,PVC,France,32
EUR 249000,Motor Yacht,van der Heijden power boats,Used boat,2002,14.95,4.65,Steel,Netherlands,110
EUR 249000,Motor Yacht,Princess power boats,"Used boat,Diesel",2009,13.56,3.99,,Italy,118
EUR 249000,Hardtop,Marex power boats,"Used boat,Diesel",2017,9.99,3.3,GRP,Germany,258
EUR 249000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2019,10.5,3.32,PVC,France,57
EUR 249000,Flybridge,Ferretti power boats,"Used boat,Diesel",2003,14.5,4.6,GRP,France,115
EUR 249000,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,9.95,3.35,PVC,France,71
EUR 249000,Motor Yacht,Cantieri Estensi power boats,Used boat,2010,13.65,4.25,,Italy,145
EUR 248800,Cabin Boat,Invictus power boats,"new boat from stock,Unleaded",2020,9.97,3.0,GRP,Germany,173
EUR 248700,"Classic,Runabout",Frauscher power boats,"new boat on order,Unleaded",2021,7.57,2.25,GRP,Switzerland,191
DKK 1850000,Motor Yacht,Minor power boats,"Used boat,Diesel",2013,11.8,3.6,GRP,Denmark,48
EUR 248000,Hardtop,Sessa power boats,"Used boat,Diesel",2012,13.5,4.0,Plastic,Italy,350
EUR 248000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,14.9,4.4,,Italy,88
EUR 248000,Motor Yacht,Sealine power boats,Used boat,2010,12.9,4.21,,France,126
EUR 248000,Trawler,BÃ©nÃ©teau power boats,new boat from stock,2018,9.99,3.53,PVC,Belgium,125
EUR 247820,Sport Boat,Tecnorib power boats,"new boat from stock,Unleaded",2020,11.37,3.54,GRP,Switzerland,104
EUR 247500,Trawler,,Used boat,2013,13.5,4.0,Steel,Netherlands,132
EUR 247000,Hardtop,Marex power boats,"Used boat,Diesel",2016,10.2,3.2,GRP,France,217
EUR 246000,Motor Yacht,Viper power boats,"new boat from stock,Diesel",0,9.8,3.0,GRP,Germany,91
EUR 245435,Hardtop,Regal power boats,"Used boat,Diesel",2015,11.23,3.4,,France,70
EUR 245000,Flybridge,Dellapasqua power boats,"Used boat,Diesel",2011,13.3,4.22,GRP,Italy,65
EUR 245000,Motor Yacht,Galeon power boats,"Used boat,Diesel",2011,12.26,3.9,GRP,Germany,183
EUR 245000,Motor Yacht,,Used boat,1997,23.0,5.35,GRP,Italy,86
EUR 245000,Trawler,,"Used boat,Diesel",2009,13.4,4.3,Steel,France,61
EUR 245000,Flybridge,Princess power boats,"Used boat,Diesel",2007,13.05,4.13,GRP,Spain,157
EUR 245000,Flybridge,Azimut power boats,"Used boat,Diesel",2009,12.9,4.22,GRP,Spain,234
EUR 245000,Flybridge,Fairline power boats,Used boat,2003,14.5,4.39,GRP,Finland,142
EUR 244000,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2019,10.07,3.25,GRP,Netherlands,118
EUR 243600,Flybridge,Bavaria power boats,new boat from stock,2018,12.0,4.2,,Italy,161
EUR 243000,Motor Yacht,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.52,3.2,GRP,Germany,41
EUR 242750,Motor Yacht,BÃ©nÃ©teau power boats,"new boat from stock,Gas",2019,9.58,3.53,GRP,Germany,68
EUR 242000,"Classic,Motor Yacht",,"Used boat,Diesel",1967,16.05,4.9,Wood,Croatia,44
EUR 242000,Motor Yacht,,Used boat,1963,13.05,4.1,,Netherlands,58
EUR 242000,Deck Boat,Sessa power boats,new boat from stock,2020,11.94,3.5,GRP,Italy,138
EUR 242000,Flybridge,Azimut power boats,"Used boat,Diesel",2005,12.35,4.22,GRP,France,24
DKK 1799000,Pilothouse,Campion power boats,new boat from stock,2020,9.0,2.0,,Denmark,100
